Date,KPI Name,Value,Target,Unit,Department,Category,Remarks
22-05-2024,Energy Consumption,43683.59,39470,kWh,Manufacturing,Energy,Above target
22-10-2024,Inspection Hours,18.48,17.3,hours,Quality Control,Quality,New initiative
18-02-2024,Inspection Hours,24.62,23.15,hours,Quality Control,Quality,Above target
10-12-2024,Water Usage,18360.58,16901.93,liters,Manufacturing,Water,On track
07-05-2024,Energy Consumption,23117.96,21198.36,kWh,Manufacturing,Energy,On track
22-05-2024,Employee Turnover Rate,1.37,1.3,%,Operations,Social Impact,Above target
20-02-2024,Inspection Hours,26.86,24.28,hours,Quality Control,Quality,New initiative
26-03-2024,Production Downtime,17.54,16.64,hours,Manufacturing,Operational,Above target
25-03-2024,Audit Failures,0.96,0.91,count,Quality Control,Quality,On track
26-05-2024,Product Defect Rate,4.93,4.5,%,Quality Control,Quality,Requires improvement
23-10-2024,Audit Failures,0.31,0.28,count,Quality Control,Quality,On track
28-09-2024,Waste Generation,511.97,474.39,kg,Manufacturing,Waste,New initiative
05-02-2024,Workplace Safety Incidents,2.88,2.6,count,Operations,Social Impact,Above target
06-05-2024,Carbon Emissions,50.84,46.34,tons,Manufacturing,Emissions,New initiative
24-09-2024,Production Downtime,6.23,5.81,hours,Manufacturing,Operational,New initiative
15-05-2024,Packaging Waste,141.92,132.81,kg,Logistics,Waste,Above target
07-02-2024,Inspection Hours,21.79,19.94,hours,Quality Control,Quality,Below target
07-02-2024,Water Usage,31436.8,29178.06,liters,Manufacturing,Water,On track
05-05-2024,Training Hours,10.06,10.96,hours,Operations,Social Impact,On track
09-11-2024,Packaging Waste,120.99,113.93,kg,Logistics,Waste,Below target
15-05-2024,Production Downtime,9.49,8.86,hours,Manufacturing,Operational,Above target
05-11-2024,Energy Consumption,38408.75,34866.4,kWh,Manufacturing,Energy,Below target
15-09-2024,Training Hours,13.19,14.16,hours,Operations,Social Impact,Below target
20-11-2024,Customer Complaints,9.05,8.53,count,Quality Control,Social Impact,On track
22-11-2024,Customer Complaints,0.44,0.4,count,Quality Control,Social Impact,Above target
14-10-2024,On-Time Delivery Rate,85.72,92.41,%,Logistics,Operational,Requires improvement
06-10-2024,Energy Consumption,8385.97,7917.66,kWh,Manufacturing,Energy,Above target
22-01-2024,Waste Generation,3168.04,2996.05,kg,Manufacturing,Waste,Above target
02-07-2024,Packaging Waste,454.54,427.18,kg,Logistics,Waste,On track
27-07-2024,Employee Turnover Rate,1.6,1.5,%,Operations,Social Impact,New initiative
30-07-2024,Employee Turnover Rate,1.98,1.8,%,Operations,Social Impact,Above target
08-12-2024,Carbon Emissions,81.37,76.29,tons,Manufacturing,Emissions,Requires improvement
20-01-2024,Training Hours,11.37,12.16,hours,Operations,Social Impact,Requires improvement
05-06-2024,Inspection Hours,9.99,9.45,hours,Quality Control,Quality,Below target
22-05-2024,Employee Turnover Rate,0.57,0.54,%,Operations,Social Impact,Below target
18-06-2024,Waste Generation,2027.8,1885.5,kg,Manufacturing,Waste,New initiative
15-05-2024,Energy Consumption,44466.73,40600.83,kWh,Manufacturing,Energy,New initiative
11-08-2024,Energy Consumption,31845.71,29211.57,kWh,Manufacturing,Energy,Below target
28-12-2024,Water Usage,45075.73,40996.55,liters,Manufacturing,Water,On track
05-07-2024,Product Defect Rate,2.84,2.67,%,Quality Control,Quality,Above target
09-06-2024,Product Defect Rate,4.77,4.51,%,Quality Control,Quality,New initiative
25-07-2024,Waste Generation,2853.74,2634.19,kg,Manufacturing,Waste,Below target
12-12-2024,On-Time Delivery Rate,81.12,86.92,%,Logistics,Operational,Requires improvement
26-05-2024,Training Hours,21.91,23.27,hours,Operations,Social Impact,Below target
26-08-2024,Equipment Maintenance Cost,7964.71,7409.83,USD,Operations,Operational,Below target
03-12-2024,Audit Failures,1.35,1.25,count,Quality Control,Quality,Above target
17-02-2024,Waste Generation,2892.51,2674.17,kg,Manufacturing,Waste,Below target
24-01-2024,Training Hours,13.75,15.11,hours,Operations,Social Impact,On track
31-07-2024,Equipment Maintenance Cost,6307.1,5918.74,USD,Operations,Operational,Requires improvement
24-02-2024,Equipment Maintenance Cost,5196.58,4740.32,USD,Operations,Operational,On track
25-08-2024,Inspection Hours,9.4,8.91,hours,Quality Control,Quality,New initiative
09-03-2024,Production Downtime,8.74,8.24,hours,Manufacturing,Operational,Requires improvement
15-09-2024,Customer Complaints,9.5,8.97,count,Quality Control,Social Impact,New initiative
18-08-2024,Audit Failures,1.79,1.68,count,Quality Control,Quality,Requires improvement
05-09-2024,On-Time Delivery Rate,85.36,93.4,%,Logistics,Operational,New initiative
19-05-2024,Training Hours,23.2,24.79,hours,Operations,Social Impact,Above target
28-04-2024,Packaging Waste,451.86,408.49,kg,Logistics,Waste,Above target
18-06-2024,Inspection Hours,22.66,20.47,hours,Quality Control,Quality,Requires improvement
26-10-2024,Audit Failures,0.12,0.11,count,Quality Control,Quality,Requires improvement
01-06-2024,Production Downtime,10.71,9.64,hours,Manufacturing,Operational,Below target
22-04-2024,Audit Failures,1.08,1.01,count,Quality Control,Quality,New initiative
21-06-2024,Inspection Hours,11.82,10.93,hours,Quality Control,Quality,Requires improvement
30-09-2024,Inspection Hours,26.01,24.6,hours,Quality Control,Quality,New initiative
25-11-2024,Water Usage,30002.75,27997.07,liters,Manufacturing,Water,On track
13-07-2024,Inspection Hours,26.67,24.25,hours,Quality Control,Quality,Below target
22-05-2024,On-Time Delivery Rate,82.11,89.55,%,Logistics,Operational,Requires improvement
27-01-2024,Customer Complaints,8.35,7.71,count,Quality Control,Social Impact,New initiative
16-01-2024,On-Time Delivery Rate,85.92,91.5,%,Logistics,Operational,On track
05-03-2024,Employee Turnover Rate,1.9,1.76,%,Operations,Social Impact,Above target
07-07-2024,Product Defect Rate,3.04,2.77,%,Quality Control,Quality,Below target
25-02-2024,Workplace Safety Incidents,2.33,2.12,count,Operations,Social Impact,Below target
22-07-2024,Waste Generation,3246.57,2963.82,kg,Manufacturing,Waste,Requires improvement
22-02-2024,Workplace Safety Incidents,1.78,1.68,count,Operations,Social Impact,Above target
26-06-2024,Fuel Efficiency,8.34,8.98,km/l,Logistics,Energy,On track
03-08-2024,Customer Complaints,0.69,0.64,count,Quality Control,Social Impact,On track
28-12-2024,Product Defect Rate,2.45,2.25,%,Quality Control,Quality,Requires improvement
11-11-2024,Equipment Maintenance Cost,2173.3,2012.67,USD,Operations,Operational,Below target
14-06-2024,Audit Failures,0.87,0.81,count,Quality Control,Quality,Below target
18-10-2024,Workplace Safety Incidents,0.84,0.77,count,Operations,Social Impact,Requires improvement
06-09-2024,Customer Complaints,0.29,0.27,count,Quality Control,Social Impact,Above target
25-12-2024,Training Hours,37.51,40.9,hours,Operations,Social Impact,New initiative
27-07-2024,Fuel Efficiency,6.89,7.58,km/l,Logistics,Energy,Above target
17-08-2024,Inspection Hours,22.27,20.76,hours,Quality Control,Quality,Requires improvement
05-06-2024,Energy Consumption,18240.6,16785.37,kWh,Manufacturing,Energy,Above target
18-06-2024,Transport Emissions,11.52,10.57,tons,Logistics,Emissions,New initiative
08-04-2024,Transport Emissions,6.15,5.61,tons,Logistics,Emissions,On track
08-04-2024,Fuel Efficiency,8.25,8.71,km/l,Logistics,Energy,Above target
01-11-2024,Equipment Maintenance Cost,3126.75,2906.25,USD,Operations,Operational,New initiative
01-04-2024,Fuel Efficiency,8.38,9.16,km/l,Logistics,Energy,Below target
28-01-2024,Fuel Efficiency,7.74,8.54,km/l,Logistics,Energy,On track
07-01-2024,On-Time Delivery Rate,85.68,91.38,%,Logistics,Operational,On track
09-05-2024,Transport Emissions,10.1,9.26,tons,Logistics,Emissions,On track
22-10-2024,Product Defect Rate,4.2,3.86,%,Quality Control,Quality,On track
13-02-2024,Carbon Emissions,25.26,23.43,tons,Manufacturing,Emissions,Below target
12-11-2024,Workplace Safety Incidents,1.67,1.54,count,Operations,Social Impact,New initiative
07-08-2024,Equipment Maintenance Cost,4779.89,4407.71,USD,Operations,Operational,New initiative
16-11-2024,Fuel Efficiency,7.54,8.05,km/l,Logistics,Energy,Above target
09-10-2024,Training Hours,31.52,34.72,hours,Operations,Social Impact,Above target
28-08-2024,Carbon Emissions,10.98,10.24,tons,Manufacturing,Emissions,New initiative
06-02-2024,Fuel Efficiency,5.76,6.16,km/l,Logistics,Energy,Requires improvement
05-08-2024,Training Hours,37.67,40.45,hours,Operations,Social Impact,Above target
13-03-2024,Production Downtime,8.37,7.6,hours,Manufacturing,Operational,Below target
27-05-2024,Energy Consumption,12466.53,11411.62,kWh,Manufacturing,Energy,New initiative
19-05-2024,Product Defect Rate,2.61,2.39,%,Quality Control,Quality,Requires improvement
14-06-2024,Audit Failures,0.16,0.14,count,Quality Control,Quality,Requires improvement
27-10-2024,Fuel Efficiency,5.18,5.46,km/l,Logistics,Energy,New initiative
28-08-2024,Waste Generation,3227.46,2965.99,kg,Manufacturing,Waste,Above target
16-02-2024,Customer Complaints,1.81,1.68,count,Quality Control,Social Impact,Requires improvement
23-03-2024,Customer Complaints,4.08,3.74,count,Quality Control,Social Impact,On track
08-10-2024,Transport Emissions,14.18,12.97,tons,Logistics,Emissions,Requires improvement
25-07-2024,Water Usage,5314.93,4850.51,liters,Manufacturing,Water,On track
04-07-2024,Production Downtime,11.93,10.77,hours,Manufacturing,Operational,New initiative
08-03-2024,Audit Failures,1.52,1.38,count,Quality Control,Quality,New initiative
18-11-2024,Transport Emissions,17.74,16.4,tons,Logistics,Emissions,On track
17-02-2024,Employee Turnover Rate,1.02,0.97,%,Operations,Social Impact,Requires improvement
12-09-2024,Workplace Safety Incidents,1.38,1.25,count,Operations,Social Impact,Above target
04-05-2024,Packaging Waste,236.97,218.99,kg,Logistics,Waste,Requires improvement
10-03-2024,Inspection Hours,14.59,13.8,hours,Quality Control,Quality,New initiative
16-09-2024,Waste Generation,4271.27,3908.84,kg,Manufacturing,Waste,Below target
23-10-2024,Fuel Efficiency,5.86,6.41,km/l,Logistics,Energy,New initiative
09-10-2024,Inspection Hours,16.16,14.94,hours,Quality Control,Quality,Below target
19-10-2024,Audit Failures,1.87,1.76,count,Quality Control,Quality,Above target
30-08-2024,Inspection Hours,26.4,24.3,hours,Quality Control,Quality,Below target
10-09-2024,Audit Failures,1.98,1.86,count,Quality Control,Quality,Above target
13-08-2024,Carbon Emissions,59.6,55.21,tons,Manufacturing,Emissions,On track
28-07-2024,Production Downtime,18.66,16.81,hours,Manufacturing,Operational,Above target
15-11-2024,Workplace Safety Incidents,1.41,1.34,count,Operations,Social Impact,Below target
13-07-2024,Product Defect Rate,4.33,4.08,%,Quality Control,Quality,New initiative
30-04-2024,Transport Emissions,17.58,15.85,tons,Logistics,Emissions,On track
20-11-2024,On-Time Delivery Rate,85.23,92.47,%,Logistics,Operational,On track
24-01-2024,Water Usage,9151.87,8373.72,liters,Manufacturing,Water,On track
05-05-2024,Fuel Efficiency,5.94,6.47,km/l,Logistics,Energy,Above target
13-11-2024,Inspection Hours,9.25,8.36,hours,Quality Control,Quality,Requires improvement
22-11-2024,Equipment Maintenance Cost,9171.88,8320.32,USD,Operations,Operational,Requires improvement
27-05-2024,Transport Emissions,5.85,5.27,tons,Logistics,Emissions,Requires improvement
02-06-2024,Workplace Safety Incidents,1.33,1.22,count,Operations,Social Impact,New initiative
04-09-2024,Customer Complaints,4.57,4.18,count,Quality Control,Social Impact,Requires improvement
24-12-2024,Carbon Emissions,47.33,44.32,tons,Manufacturing,Emissions,Below target
05-01-2024,Fuel Efficiency,9.23,9.89,km/l,Logistics,Energy,Below target
27-04-2024,Production Downtime,16.18,15.24,hours,Manufacturing,Operational,Below target
17-11-2024,On-Time Delivery Rate,85.07,91.37,%,Logistics,Operational,Above target
05-07-2024,Energy Consumption,18901.98,17428.4,kWh,Manufacturing,Energy,New initiative
30-03-2024,Workplace Safety Incidents,2.73,2.5,count,Operations,Social Impact,Requires improvement
28-09-2024,Employee Turnover Rate,1.84,1.68,%,Operations,Social Impact,Below target
31-05-2024,On-Time Delivery Rate,82.42,87.57,%,Logistics,Operational,Requires improvement
12-12-2024,Fuel Efficiency,6.63,7.34,km/l,Logistics,Energy,Above target
01-10-2024,Customer Complaints,0.9,0.83,count,Quality Control,Social Impact,Below target
26-10-2024,Water Usage,19060.7,17868.46,liters,Manufacturing,Water,Below target
13-11-2024,Customer Complaints,1.08,0.98,count,Quality Control,Social Impact,On track
24-12-2024,On-Time Delivery Rate,85.24,91.48,%,Logistics,Operational,Requires improvement
04-06-2024,Transport Emissions,3.22,2.91,tons,Logistics,Emissions,On track
17-07-2024,Product Defect Rate,0.94,0.89,%,Quality Control,Quality,Above target
02-08-2024,Customer Complaints,6.7,6.28,count,Quality Control,Social Impact,New initiative
27-07-2024,Equipment Maintenance Cost,6721.76,6329.78,USD,Operations,Operational,New initiative
30-04-2024,Fuel Efficiency,7.7,8.45,km/l,Logistics,Energy,Requires improvement
01-02-2024,Fuel Efficiency,9.09,9.9,km/l,Logistics,Energy,Below target
16-02-2024,Customer Complaints,1.9,1.72,count,Quality Control,Social Impact,Requires improvement
16-10-2024,Workplace Safety Incidents,0.15,0.14,count,Operations,Social Impact,Above target
20-04-2024,Workplace Safety Incidents,2.49,2.31,count,Operations,Social Impact,New initiative
02-01-2024,Training Hours,37.44,39.85,hours,Operations,Social Impact,New initiative
26-02-2024,On-Time Delivery Rate,87.95,94.88,%,Logistics,Operational,Above target
28-10-2024,Carbon Emissions,12.35,11.34,tons,Manufacturing,Emissions,Above target
26-09-2024,Fuel Efficiency,5.3,5.87,km/l,Logistics,Energy,Requires improvement
30-10-2024,Energy Consumption,26431.07,24816.15,kWh,Manufacturing,Energy,New initiative
03-12-2024,Water Usage,25688.1,24333.59,liters,Manufacturing,Water,On track
24-07-2024,Transport Emissions,13.22,11.92,tons,Logistics,Emissions,Requires improvement
11-02-2024,Product Defect Rate,2.71,2.56,%,Quality Control,Quality,On track
07-10-2024,On-Time Delivery Rate,78.27,85.66,%,Logistics,Operational,New initiative
15-09-2024,Transport Emissions,19.9,18.44,tons,Logistics,Emissions,Requires improvement
20-04-2024,Product Defect Rate,4.07,3.69,%,Quality Control,Quality,New initiative
23-07-2024,Audit Failures,1.78,1.64,count,Quality Control,Quality,Requires improvement
10-07-2024,Product Defect Rate,1.91,1.75,%,Quality Control,Quality,Below target
09-08-2024,Equipment Maintenance Cost,1137.77,1071.31,USD,Operations,Operational,On track
14-10-2024,Waste Generation,4415.27,4096.49,kg,Manufacturing,Waste,New initiative
27-01-2024,Fuel Efficiency,6.65,7.05,km/l,Logistics,Energy,Requires improvement
20-03-2024,Packaging Waste,208.24,193.43,kg,Logistics,Waste,Above target
07-07-2024,Inspection Hours,26.18,24.02,hours,Quality Control,Quality,New initiative
14-11-2024,Waste Generation,3222.76,2955.68,kg,Manufacturing,Waste,New initiative
15-01-2024,Production Downtime,18.94,17.83,hours,Manufacturing,Operational,Below target
28-06-2024,Training Hours,33.52,36.62,hours,Operations,Social Impact,Below target
05-02-2024,Carbon Emissions,95.2,88.29,tons,Manufacturing,Emissions,Requires improvement
02-08-2024,Workplace Safety Incidents,0.28,0.26,count,Operations,Social Impact,Requires improvement
17-10-2024,Customer Complaints,1.57,1.44,count,Quality Control,Social Impact,Below target
11-12-2024,Energy Consumption,12001.1,11253.69,kWh,Manufacturing,Energy,On track
14-08-2024,Waste Generation,2492.62,2326.94,kg,Manufacturing,Waste,New initiative
08-08-2024,Customer Complaints,2.16,2,count,Quality Control,Social Impact,Below target
07-12-2024,Waste Generation,3730.7,3455.45,kg,Manufacturing,Waste,New initiative
04-01-2024,Fuel Efficiency,5.79,6.1,km/l,Logistics,Energy,On track
28-05-2024,Training Hours,44.61,47.54,hours,Operations,Social Impact,Below target
07-03-2024,Fuel Efficiency,4.72,5.04,km/l,Logistics,Energy,Above target
06-02-2024,Inspection Hours,17.51,16.49,hours,Quality Control,Quality,Below target
09-06-2024,Product Defect Rate,2.46,2.27,%,Quality Control,Quality,On track
26-07-2024,Audit Failures,1.42,1.31,count,Quality Control,Quality,On track
19-12-2024,Waste Generation,1124.8,1024.99,kg,Manufacturing,Waste,Requires improvement
28-10-2024,Fuel Efficiency,6.5,7.18,km/l,Logistics,Energy,Requires improvement
23-04-2024,Product Defect Rate,2.28,2.09,%,Quality Control,Quality,Below target
18-09-2024,On-Time Delivery Rate,79.9,85.76,%,Logistics,Operational,New initiative
30-04-2024,Training Hours,19.72,20.8,hours,Operations,Social Impact,Above target
01-12-2024,Carbon Emissions,34.98,33.04,tons,Manufacturing,Emissions,Above target
15-10-2024,Carbon Emissions,103.4,95.62,tons,Manufacturing,Emissions,Requires improvement
13-08-2024,Customer Complaints,8.64,8.05,count,Quality Control,Social Impact,Above target
29-10-2024,Water Usage,22668.2,20744.6,liters,Manufacturing,Water,Below target
20-01-2024,Waste Generation,2807.88,2635.22,kg,Manufacturing,Waste,Requires improvement
10-11-2024,Waste Generation,4417.83,4192.14,kg,Manufacturing,Waste,On track
18-08-2024,Audit Failures,1.16,1.1,count,Quality Control,Quality,On track
18-08-2024,Training Hours,29.81,32.23,hours,Operations,Social Impact,On track
21-01-2024,Waste Generation,5181.95,4915.45,kg,Manufacturing,Waste,Above target
22-03-2024,Equipment Maintenance Cost,9914.37,9182.72,USD,Operations,Operational,New initiative
13-12-2024,Packaging Waste,463.07,425.73,kg,Logistics,Waste,Below target
25-05-2024,Waste Generation,544.64,516.38,kg,Manufacturing,Waste,Requires improvement
28-06-2024,On-Time Delivery Rate,82.07,88.33,%,Logistics,Operational,Above target
07-06-2024,Transport Emissions,3.45,3.23,tons,Logistics,Emissions,On track
17-02-2024,Customer Complaints,8.13,7.59,count,Quality Control,Social Impact,New initiative
23-06-2024,Customer Complaints,0.18,0.16,count,Quality Control,Social Impact,Above target
31-05-2024,Inspection Hours,10.66,9.67,hours,Quality Control,Quality,On track
20-01-2024,Production Downtime,16.56,15.6,hours,Manufacturing,Operational,New initiative
20-12-2024,On-Time Delivery Rate,82.57,90.97,%,Logistics,Operational,Above target
15-08-2024,Equipment Maintenance Cost,915.08,840.24,USD,Operations,Operational,Above target
09-04-2024,Transport Emissions,5.45,4.97,tons,Logistics,Emissions,Requires improvement
14-09-2024,Transport Emissions,9.77,8.93,tons,Logistics,Emissions,Requires improvement
08-05-2024,Inspection Hours,25.42,23.9,hours,Quality Control,Quality,Above target
30-12-2024,Water Usage,43831.73,40663.88,liters,Manufacturing,Water,On track
19-09-2024,Waste Generation,637.56,602.6,kg,Manufacturing,Waste,Requires improvement
27-06-2024,Equipment Maintenance Cost,1371.28,1296.58,USD,Operations,Operational,Requires improvement
16-07-2024,Water Usage,3609.59,3339.23,liters,Manufacturing,Water,Above target
28-11-2024,Waste Generation,1362.04,1277.79,kg,Manufacturing,Waste,On track
22-12-2024,On-Time Delivery Rate,78.98,86.38,%,Logistics,Operational,Requires improvement
10-01-2024,Equipment Maintenance Cost,4761.71,4286.79,USD,Operations,Operational,On track
27-09-2024,On-Time Delivery Rate,86.58,93.35,%,Logistics,Operational,New initiative
25-01-2024,Product Defect Rate,3.99,3.64,%,Quality Control,Quality,On track
26-02-2024,Equipment Maintenance Cost,6570.04,6117.63,USD,Operations,Operational,On track
29-05-2024,Product Defect Rate,3.34,3.1,%,Quality Control,Quality,Above target
05-04-2024,Product Defect Rate,3.27,2.98,%,Quality Control,Quality,Requires improvement
05-10-2024,Production Downtime,19.62,17.72,hours,Manufacturing,Operational,New initiative
10-07-2024,Water Usage,43793.24,39509.24,liters,Manufacturing,Water,Requires improvement
02-12-2024,Fuel Efficiency,6.13,6.79,km/l,Logistics,Energy,Above target
29-06-2024,Production Downtime,16.03,14.69,hours,Manufacturing,Operational,On track
19-11-2024,On-Time Delivery Rate,87.16,93.3,%,Logistics,Operational,Requires improvement
19-01-2024,Employee Turnover Rate,0.64,0.59,%,Operations,Social Impact,Requires improvement
10-06-2024,On-Time Delivery Rate,77.75,85.44,%,Logistics,Operational,On track
19-01-2024,Transport Emissions,19.79,18.35,tons,Logistics,Emissions,Below target
19-05-2024,Training Hours,19.78,21.06,hours,Operations,Social Impact,Below target
16-07-2024,Waste Generation,2458.19,2297.37,kg,Manufacturing,Waste,Requires improvement
16-05-2024,On-Time Delivery Rate,83.2,89.96,%,Logistics,Operational,New initiative
06-10-2024,Water Usage,4867.42,4527.3,liters,Manufacturing,Water,Above target
05-06-2024,Packaging Waste,96.17,88.13,kg,Logistics,Waste,Below target
22-01-2024,Audit Failures,0.33,0.3,count,Quality Control,Quality,Requires improvement
08-02-2024,Transport Emissions,6.22,5.9,tons,Logistics,Emissions,On track
16-01-2024,Customer Complaints,5.13,4.81,count,Quality Control,Social Impact,Above target
04-07-2024,Equipment Maintenance Cost,830.59,750.32,USD,Operations,Operational,Below target
09-07-2024,Product Defect Rate,3.22,3.01,%,Quality Control,Quality,Below target
09-06-2024,Product Defect Rate,3.08,2.85,%,Quality Control,Quality,Requires improvement
12-09-2024,On-Time Delivery Rate,85.27,94.61,%,Logistics,Operational,Above target
19-04-2024,Product Defect Rate,1.68,1.53,%,Quality Control,Quality,Requires improvement
19-08-2024,Transport Emissions,4.8,4.35,tons,Logistics,Emissions,On track
07-12-2024,Equipment Maintenance Cost,9973.99,9380.79,USD,Operations,Operational,Below target
21-03-2024,Fuel Efficiency,7.09,7.75,km/l,Logistics,Energy,Below target
12-03-2024,Training Hours,25.27,27.89,hours,Operations,Social Impact,Above target
27-08-2024,Equipment Maintenance Cost,749.7,695.5,USD,Operations,Operational,Below target
26-09-2024,Workplace Safety Incidents,0.2,0.18,count,Operations,Social Impact,Requires improvement
24-11-2024,Audit Failures,1.65,1.49,count,Quality Control,Quality,Below target
09-10-2024,Water Usage,23825.83,22059.57,liters,Manufacturing,Water,Above target
04-03-2024,Employee Turnover Rate,1.26,1.15,%,Operations,Social Impact,On track
26-06-2024,Training Hours,11.37,12.41,hours,Operations,Social Impact,Above target
20-05-2024,Fuel Efficiency,5.82,6.25,km/l,Logistics,Energy,New initiative
30-10-2024,Training Hours,29.54,32.65,hours,Operations,Social Impact,Above target
21-06-2024,Employee Turnover Rate,1.62,1.49,%,Operations,Social Impact,New initiative
15-05-2024,Energy Consumption,8655.03,8200.01,kWh,Manufacturing,Energy,New initiative
28-05-2024,Equipment Maintenance Cost,6372.03,5744.48,USD,Operations,Operational,New initiative
01-06-2024,Transport Emissions,5.65,5.31,tons,Logistics,Emissions,Requires improvement
04-09-2024,Product Defect Rate,3.6,3.27,%,Quality Control,Quality,Requires improvement
25-06-2024,Inspection Hours,13.5,12.25,hours,Quality Control,Quality,Below target
12-06-2024,Inspection Hours,24.02,22.24,hours,Quality Control,Quality,On track
19-02-2024,Equipment Maintenance Cost,1663.96,1534.97,USD,Operations,Operational,Above target
07-05-2024,Waste Generation,5179.46,4737.85,kg,Manufacturing,Waste,Requires improvement
22-03-2024,Training Hours,44.01,47.02,hours,Operations,Social Impact,Above target
16-02-2024,Audit Failures,1,0.92,count,Quality Control,Quality,On track
25-01-2024,Audit Failures,1.93,1.76,count,Quality Control,Quality,Below target
26-05-2024,Waste Generation,2817.89,2575.49,kg,Manufacturing,Waste,Requires improvement
25-07-2024,Energy Consumption,24391.75,23028.81,kWh,Manufacturing,Energy,Below target
04-07-2024,Fuel Efficiency,6.5,7,km/l,Logistics,Energy,Above target
23-05-2024,Fuel Efficiency,6.39,6.93,km/l,Logistics,Energy,New initiative
12-10-2024,Carbon Emissions,104.57,97.76,tons,Manufacturing,Emissions,Below target
21-01-2024,On-Time Delivery Rate,80.51,86.99,%,Logistics,Operational,New initiative
22-09-2024,Energy Consumption,11166.64,10235.92,kWh,Manufacturing,Energy,Requires improvement
09-11-2024,Inspection Hours,20.16,18.66,hours,Quality Control,Quality,Below target
30-10-2024,On-Time Delivery Rate,82.78,88.93,%,Logistics,Operational,Below target
07-07-2024,Transport Emissions,14.47,13.24,tons,Logistics,Emissions,On track
01-11-2024,Fuel Efficiency,9.2,9.9,km/l,Logistics,Energy,On track
22-10-2024,Customer Complaints,9.67,9.08,count,Quality Control,Social Impact,New initiative
13-07-2024,Workplace Safety Incidents,1.75,1.59,count,Operations,Social Impact,New initiative
07-04-2024,Employee Turnover Rate,0.6,0.55,%,Operations,Social Impact,On track
29-07-2024,Water Usage,16370.93,14857.79,liters,Manufacturing,Water,Above target
15-06-2024,Product Defect Rate,3.68,3.41,%,Quality Control,Quality,New initiative
24-06-2024,Audit Failures,0.63,0.57,count,Quality Control,Quality,New initiative
22-05-2024,Packaging Waste,324.53,295.2,kg,Logistics,Waste,Above target
26-12-2024,On-Time Delivery Rate,89.61,94.41,%,Logistics,Operational,Below target
27-05-2024,Equipment Maintenance Cost,3511.89,3221.95,USD,Operations,Operational,Below target
25-06-2024,Production Downtime,15.15,13.92,hours,Manufacturing,Operational,Requires improvement
26-06-2024,Training Hours,6.53,6.89,hours,Operations,Social Impact,On track
18-05-2024,Customer Complaints,7.47,6.8,count,Quality Control,Social Impact,New initiative
04-05-2024,On-Time Delivery Rate,80.67,86.09,%,Logistics,Operational,Above target
30-07-2024,Production Downtime,8.39,7.65,hours,Manufacturing,Operational,On track
08-10-2024,Transport Emissions,2.91,2.73,tons,Logistics,Emissions,On track
01-09-2024,Equipment Maintenance Cost,6702.48,6327.36,USD,Operations,Operational,Requires improvement
29-11-2024,Training Hours,18.13,19.45,hours,Operations,Social Impact,On track
19-01-2024,Workplace Safety Incidents,2.74,2.49,count,Operations,Social Impact,Above target
